# 163
# time lon lat ele hdop vdop speed direction journey journey3
1494415624.000000 113.89694683 22.95132477 24.32406235 7.75210714 3.26653028 2.49649811 0.24681449 0.00000000 0.00000000
1494415625.000000 113.89697375 22.95132987 24.29036522 6.19482374 3.25326014 2.15681386 0.29857498 2.81819002 2.81839147
1494415626.000000 113.89699608 22.95133527 24.22538567 4.18259144 3.14600253 2.09675241 0.28620487 5.18526138 5.18635456
1494415627.000000 113.89701518 22.95134099 24.16460228 3.50516200 2.89998078 2.00609422 0.28589857 7.24409514 7.24608538
1494415628.000000 113.89703103 22.95134635 24.12143135 4.68103552 3.30537939 1.75380504 0.29760301 8.97513717 8.97766565
1494415630.000000 113.89705520 22.95135594 24.05425644 2.99468756 2.50746679 1.34511280 0.31524140 11.67108880 11.67445405
1494415631.000000 113.89706463 22.95135830 24.03978539 2.96791148 2.16037869 1.15481412 0.30095842 12.67259398 12.67606377
1494415632.000000 113.89707117 22.95136008 24.00770760 2.93255138 1.96156061 1.05491793 0.29892272 13.37225772 13.37646247
1494415633.000000 113.89707395 22.95136106 23.97567940 4.16845274 2.07072854 0.94448811 0.29876274 13.67753451 13.68341479
1494415635.000000 113.89707478 22.95136069 23.91176796 3.16268349 1.83057690 0.72204590 0.28249818 13.77111313 13.79673570
1494415636.000000 113.89707852 22.95136122 23.87971497 1.67944968 1.68253493 0.00000000 0.27513641 14.15942198 14.18636522
1494415639.000000 113.89708829 22.95136465 24.10844040 7.52485323 3.22378922 2.69939947 -2.60019183 15.23064108 15.28173076
1494415640.000000 113.89706689 22.95135260 24.13507843 4.71173906 3.21823597 2.54097271 -2.60993314 17.79912184 17.85034965
1494415641.000000 113.89704501 22.95134046 24.15427780 3.57662487 3.10006070 2.27038860 -2.60411501 20.41516948 20.46646774
1494415642.000000 113.89702418 22.95132902 24.17125130 3.06498623 2.83067226 2.27448082 -2.60466862 22.89851350 22.94986977
1494415643.000000 113.89700401 22.95131811 24.18821716 2.79202533 2.56112742 2.26347661 -2.60556722 25.29470790 25.34612423
1494415644.000000 113.89698766 22.95130937 24.20517540 2.63311410 2.33378005 2.21587610 -2.60631561 27.23045649 27.28194710
1494415645.000000 113.89697334 22.95130125 24.22213554 2.53622031 2.14846635 0.00000000 -2.60522652 28.95269343 29.00426754
1494415696.000000 113.89694458 22.95127312 23.89999962 8.07627964 3.22378922 2.79882455 0.16495334 33.24260984 33.30626178
1494415697.000000 113.89696842 22.95127504 23.89668846 9.21684551 3.30091071 3.06140351 0.22160399 35.69684235 35.76049652
1494415698.000000 113.89699554 22.95127955 23.92557907 7.82938480 3.20955229 3.20867825 0.24267356 38.52257535 38.58637721
1494415699.000000 113.89702478 22.95128523 23.96817780 6.71220541 2.94722319 3.32260299 0.26417685 41.58673142 41.65082938
1494415700.000000 113.89705570 22.95129256 24.00094414 2.28129435 2.67590451 3.28710628 0.24707781 44.85950213 44.92376410
1494415701.000000 113.89709010 22.95130284 24.00006294 2.13134623 2.44382691 3.20313048 0.23708439 48.56662294 48.63088502
1494415702.000000 113.89712427 22.95131264 23.99270058 2.05376720 2.25318432 3.16730142 0.21388534 52.23603629 52.30030575
1494415703.000000 113.89715721 22.95132154 23.95456314 2.00013065 2.09653234 3.13800645 0.19650856 55.75465217 55.81912831
1494415704.000000 113.89718485 22.95132413 23.90339851 1.97418165 1.96628833 3.10841060 0.16586006 58.60437502 58.66931044
1494415705.000000 113.89720837 22.95132382 23.85645866 1.95276070 1.84268045 2.99375701 0.11628341 61.01704254 61.08243453
1494415706.000000 113.89723471 22.95132135 23.80037880 1.93877685 1.74178362 2.95327067 0.08114798 63.73218898 63.79816006
1494415707.000000 113.89726317 22.95132012 23.72194099 1.90775120 1.65699470 2.95458770 0.07135687 66.65443625 66.72145984
1494415708.000000 113.89729450 22.95131874 23.65298271 1.90040290 1.58422327 2.94374752 0.04551167 69.87105951 69.93882218
1494415709.000000 113.89732083 22.95131390 23.59255028 1.89682221 1.52076161 2.89244127 0.01417831 72.62381547 72.69224141
